# CIV.EXE — discovered functions (1142 total)
# fields: addr  seg  name  body_size  param_count  source

1000:3722       1000    FUN_1000_3722                                         33    1  DEFAULT
1000:3744       1000    FUN_1000_3744                                         58    3  DEFAULT
1000:377e       1000    FUN_1000_377e                                         51    3  DEFAULT
1000:37b2       1000    FUN_1000_37b2                                         75    3  DEFAULT
1000:37fe       1000    FUN_1000_37fe                                        112    3  DEFAULT
1000:386e       1000    FUN_1000_386e                                        300    2  DEFAULT
1000:3ba0       1000    FUN_1000_3ba0                                        496    0  DEFAULT
1000:3d90       1000    FUN_1000_3d90                                        223    4  DEFAULT
1000:3e70       1000    FUN_1000_3e70                                        339    4  DEFAULT
1000:3fc4       1000    FUN_1000_3fc4                                        105    4  DEFAULT
1000:402d       1000    thunk_FUN_1000_3e70                                    3    4  DEFAULT
1000:40aa       1000    FUN_1000_40aa                                         38    3  DEFAULT
1000:40d0       1000    FUN_1000_40d0                                         38    3  DEFAULT
1000:40f6       1000    FUN_1000_40f6                                         33    4  DEFAULT
1000:4124       1000    FUN_1000_4124                                         88    2  DEFAULT
1000:41e4       1000    FUN_1000_41e4                                         25    1  DEFAULT
1000:4239       1000    FUN_1000_4239                                         25    2  DEFAULT
1000:4252       1000    FUN_1000_4252                                         97    5  DEFAULT
1000:42d3       1000    thunk_FUN_1000_0221                                    4    7  DEFAULT
1000:441e       1000    FUN_1000_441e                                          6    0  DEFAULT
1000:468c       1000    FUN_1000_468c                                         14    0  DEFAULT
1000:46f1       1000    FUN_1000_46f1                                        257    0  DEFAULT
1000:47f2       1000    FUN_1000_47f2                                        104    0  DEFAULT
1000:4870       1000    FUN_1000_4870                                        191    0  DEFAULT
1000:4931       1000    FUN_1000_4931                                         48    0  DEFAULT
1000:4961       1000    FUN_1000_4961                                         23    0  DEFAULT
1000:498c       1000    FUN_1000_498c                                         73    3  DEFAULT
1000:4a52       1000    FUN_1000_4a52                                         52    3  DEFAULT
1008:0000       1008    FUN_1008_0000                                        809    2  DEFAULT
1008:0329       1008    FUN_1008_0329                                        625    0  DEFAULT
1008:059a       1008    FUN_1008_059a                                        149    0  DEFAULT
1008:062f       1008    FUN_1008_062f                                         62    0  DEFAULT
1008:066d       1008    FUN_1008_066d                                        238    0  DEFAULT
1008:075b       1008    FUN_1008_075b                                        632    0  DEFAULT
1008:09d3       1008    FUN_1008_09d3                                         16    0  DEFAULT
1008:09e3       1008    FUN_1008_09e3                                         21    0  DEFAULT
1008:09f8       1008    FUN_1008_09f8                                         14    0  DEFAULT
1008:0a06       1008    FUN_1008_0a06                                         14    0  DEFAULT
1008:0a14       1008    FUN_1008_0a14                                         14    0  DEFAULT
1008:0a22       1008    FUN_1008_0a22                                        107    0  DEFAULT
1008:0a8d       1008    FUN_1008_0a8d                                         62    1  DEFAULT
1008:0acb       1008    FUN_1008_0acb                                         18    0  DEFAULT
1008:0add       1008    FUN_1008_0add                                         54    1  DEFAULT
1008:0b13       1008    FUN_1008_0b13                                         55    3  DEFAULT
1008:0b4a       1008    FUN_1008_0b4a                                        117    0  DEFAULT
1008:0bbf       1008    FUN_1008_0bbf                                        397    0  DEFAULT
1008:0d4c       1008    FUN_1008_0d4c                                         14    0  DEFAULT
1008:0d5a       1008    FUN_1008_0d5a                                         14    0  DEFAULT
1008:0d68       1008    TIMERPROC                                             43    0  IMPORTED
1008:0d93       1008    FUN_1008_0d93                                         93    2  DEFAULT
1008:0df0       1008    FUN_1008_0df0                                         18    0  DEFAULT
1008:0e02       1008    FUN_1008_0e02                                         16    0  DEFAULT
1008:0e12       1008    ENUMFUNC                                             135    2  IMPORTED
1008:0e99       1008    FUN_1008_0e99                                        146    0  DEFAULT
1008:0f2b       1008    FUN_1008_0f2b                                         76    0  DEFAULT
1008:0f77       1008    FUN_1008_0f77                                         84    0  DEFAULT
1008:0fcb       1008    FUN_1008_0fcb                                         82    1  DEFAULT
1008:101d       1008    FUN_1008_101d                                         16    0  DEFAULT
1008:102d       1008    FUN_1008_102d                                         16    0  DEFAULT
1008:103d       1008    FUN_1008_103d                                        112    0  DEFAULT
1010:00d6       1010    FUN_1010_00d6                                         65    1  DEFAULT
1018:0000       1018    FUN_1018_0000                                        349    3  DEFAULT
1018:015d       1018    FUN_1018_015d                                        547    3  DEFAULT
1018:0380       1018    FUN_1018_0380                                        112    0  DEFAULT
1018:03f0       1018    FUN_1018_03f0                                        651    1  DEFAULT
1018:067b       1018    FUN_1018_067b                                        849    1  DEFAULT
1018:09cc       1018    FUN_1018_09cc                                        532    1  DEFAULT
1018:0be0       1018    FUN_1018_0be0                                       1601    1  DEFAULT
1018:1221       1018    FUN_1018_1221                                       1304    0  DEFAULT
1018:1739       1018    FUN_1018_1739                                         51    1  DEFAULT
1018:176c       1018    FUN_1018_176c                                        111    1  DEFAULT
1018:17db       1018    FUN_1018_17db                                       1408    1  DEFAULT
1018:1d5b       1018    FUN_1018_1d5b                                        719    1  DEFAULT
1018:202a       1018    FUN_1018_202a                                        101    2  DEFAULT
1018:208f       1018    FUN_1018_208f                                       1078    1  DEFAULT
1018:24c5       1018    FUN_1018_24c5                                        238    5  DEFAULT
1020:0000       1020    FUN_1020_0000                                        273    2  DEFAULT
1020:011b       1020    FUN_1020_011b                                         51    1  DEFAULT
1028:0000       1028    FUN_1028_0000                                       1425    1  DEFAULT
1028:05e7       1028    FUN_1028_05e7                                        131    2  DEFAULT
1028:066a       1028    FUN_1028_066a                                        731    0  DEFAULT
1028:0945       1028    FUN_1028_0945                                        170    0  DEFAULT
